Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
1999/12/30,1000,1000,1000,1000,10000000,124000000,12.85,,0,0.0052,4.18,35.89,232.09,8.6,0.026,
2000/1/4,1001.98,1035.36,985.47,1027.66,14000000,183000000,13.22,1000,0.0277,0.0074,4.59,38.4,238.49,8.83,0.0184,0.0041
2000/1/5,1035.47,1057.85,1013.07,1028.87,25000000,290000000,13.23,1027.66,0.0012,0.0132,4.37,38.6,241.51,8.94,0.0193,0.0046
2000/1/6,1025.38,1070.79,1011,1065.67,30000000,421000000,13.69,1028.87,0.0358,0.0157,4.52,39.99,250.15,9.26,0.0233,0.0045
2000/1/7,1076.06,1117.71,1058.83,1106.19,65000000,875000000,14.13,1065.67,0.038,0.0337,4.68,41.48,259.66,9.62,0.024,0.0043
2000/1/10,1108.57,1144.09,1082.38,1130.06,55000000,769000000,14.43,1106.19,0.0216,0.0282,4.77,42.18,268.46,9.94,0.0215,0.0042
2000/1/11,1135.11,1145.76,1082.01,1104.18,59000000,802000000,14.14,1130.06,-0.0229,0.0306,4.67,41.3,262.31,9.72,0.0281,0.0043
2000/1/12,1094.59,1114.88,1061.11,1080.4,43000000,602000000,13.86,1104.18,-0.0215,0.0223,4.57,40.39,256.66,9.51,0.0273,0.0043
2000/1/13,1078.21,1091.29,1051.82,1066.57,26000000,377000000,13.7,1080.4,-0.0128,0.0136,4.51,39.88,253.38,9.38,0.0287,0.0044
2000/1/14,1070.44,1085.36,1041.54,1062.16,21000000,303000000,13.66,1066.57,-0.0041,0.0109,4.49,39.64,252.33,9.35,0.0271,0.0044
2000/1/17,1058.23,1094.8,1043.07,1085.92,31000000,472000000,13.91,1062.16,0.0224,0.0161,4.58,40.52,257.97,9.55,0.0408,0.0043
2000/1/18,1097.11,1106.04,1062.56,1076.92,26000000,409000000,13.82,1085.92,-0.0083,0.0136,4.56,40.38,255.83,9.48,0.03,0.0043
2000/1/19,1081.8,1124.59,1071.04,1110.19,30000000,518000000,14.2,1076.92,0.0309,0.0157,4.69,41.53,263.74,9.77,0.0396,0.0042
2000/1/20,1110.87,1156.03,1100.1,1149.22,37000000,597000000,14.64,1110.19,0.0352,0.0189,4.85,42.97,273.01,10.11,0.0314,0.0041
2000/1/21,1153.26,1179.03,1121.61,1148.63,43000000,655000000,14.67,1149.22,-0.0005,0.0221,4.86,43.02,272.87,10.11,0.0242,0.0041
2000/1/24,1147.1,1189.07,1120.02,1172.99,46000000,721000000,15.09,1148.63,0.0212,0.0236,4.95,43.88,278.66,10.32,0.0247,0.004
2000/1/25,1174.57,1225.91,1151.63,1196.05,52000000,861000000,15.25,1172.99,0.0197,0.027,5.03,44.49,284.13,10.52,0.0336,0.004
2000/1/26,1192.9,1224.46,1167.39,1200.14,35000000,676000000,15.26,1196.05,0.0034,0.018,5.05,44.73,285.11,10.56,0.0357,0.004
2000/1/27,1202.86,1239.35,1176.42,1210.27,53000000,782000000,15.39,1200.14,0.0084,0.0271,5.09,45.13,287.51,10.65,0.0256,0.0039
2000/1/28,1208.3,1247.21,1169.71,1216.79,60000000,930000000,15.48,1210.27,0.0054,0.0308,5.13,45.57,289.05,10.71,0.0243,0.0038
2000/2/14,1249.05,1332.89,1237.56,1328.78,76000000,1199000000,16.92,1216.79,0.092,0.0394,5.59,49.74,315.67,11.69,0.0279,0.0035
2000/2/15,1356.08,1425.41,1303.61,1356.6,116000000,1804000000,17.36,1328.78,0.0209,0.0596,5.73,51.08,322.13,11.93,0.0271,0.0034
2000/2/16,1382.39,1432.74,1318.76,1404.39,105000000,1612000000,17.88,1356.6,0.0352,0.0543,5.96,53.05,333.63,12.36,0.0249,0.0033
2000/2/17,1432.38,1497.79,1332.59,1369.7,113000000,1757000000,17.18,1404.39,-0.0247,0.057,5.7,51.83,330.74,11.81,0.02,0.0033
2000/2/18,1365.65,1435.01,1300.1,1413.28,64000000,1036000000,17.67,1369.7,0.0318,0.032,5.88,53.48,341.27,12.19,0.0204,0.0032
2000/2/21,1420.27,1485.56,1353.47,1441.89,70000000,1155000000,17.95,1413.28,0.0202,0.0351,5.97,54.4,348.17,12.43,0.0194,0.0032
2000/2/22,1451.12,1484.9,1379.09,1419.15,70000000,1291000000,17.5,1441.89,-0.0158,0.0355,5.88,53.51,342.68,12.24,0.0269,0.0033
2000/2/23,1398.92,1438.83,1337.89,1399.22,56000000,1020000000,17.08,1419.15,-0.014,0.0281,5.79,52.61,337.87,12.07,0.0279,0.0034
2000/2/24,1387.9,1449.93,1370.16,1424.87,38000000,752000000,17.43,1399.22,0.0183,0.0193,5.88,53.54,344.06,12.29,0.0248,0.0033
2000/2/25,1425.04,1466.32,1387.81,1425.97,40000000,687000000,17.5,1424.87,0.0008,0.0201,5.87,53.41,344.33,12.3,0.0189,0.0033
2000/2/28,1431.52,1509.36,1411.34,1493.82,66000000,1119000000,18.2,1425.97,0.0476,0.0333,6.15,55.97,360,12.86,0.0238,0.0032
2000/2/29,1512.28,1540.9,1438.07,1493.42,62000000,1004000000,18.26,1493.82,-0.0003,0.0315,6.14,55.9,359.94,12.86,0.0181,0.0032
2000/3/1,1504.05,1536.04,1452.16,1502.71,48000000,796000000,18.33,1493.42,0.0062,0.0244,6.16,56.1,363.1,12.97,0.0186,0.0032
2000/3/2,1506.7,1547.36,1466.25,1507.87,40000000,707000000,18.33,1502.71,0.0034,0.0202,6.2,56.4,363.43,12.98,0.018,0.0032
2000/3/3,1509.34,1548.43,1457.76,1498.59,72000000,1082000000,18.34,1507.87,-0.0061,0.0365,6.19,56.3,361.18,12.9,0.0226,0.0032
2000/3/6,1508.17,1532.23,1426.92,1449.86,69000000,1117000000,17.79,1498.59,-0.0325,0.0349,5.97,54.37,349.42,12.48,0.0229,0.0033
2000/3/7,1424.04,1466.68,1400.76,1449.21,33000000,549000000,17.79,1449.86,-0.0004,0.0167,5.97,54.36,349.29,12.47,0.0178,0.0032
2000/3/8,1459.98,1492.22,1424.02,1469.58,40000000,673000000,18.01,1449.21,0.0141,0.0199,6.09,55.23,354.26,12.65,0.0211,0.0032
2000/3/9,1469.72,1501.94,1433.29,1474.38,42000000,670000000,18.05,1469.58,0.0033,0.0212,6.09,55.43,355.42,12.69,0.0183,0.0032
2000/3/10,1474.44,1489.08,1422.6,1448.85,35000000,566000000,17.75,1474.38,-0.0173,0.0177,5.98,54.44,349.2,12.47,0.0178,0.0033
2000/3/13,1449.62,1494.09,1427.05,1478.78,49000000,766000000,18.06,1448.85,0.0207,0.0249,6.13,55.75,356.41,12.73,0.028,0.0032
2000/3/14,1439.23,1470.05,1376.15,1448.17,58000000,828000000,17.75,1478.78,-0.0207,0.0294,6.01,54.67,349.03,12.47,0.0225,0.0033
2000/3/15,1449.12,1484.24,1421.99,1450.1,48000000,782000000,17.76,1448.17,0.0013,0.0243,6.03,54.74,349.49,12.48,0.026,0.0032
